User,StartMood,EndMood,Agent,AvgReward
Lonely Stoner,Sad,Relaxed,RandomAgent,-4.77
Lonely Stoner,Sad,Relaxed,FavouriteClusterAgent,-0.39
Divorced Dad,Sad,Nostalgic,RandomAgent,-5.18
Divorced Dad,Sad,Nostalgic,FavouriteClusterAgent,-5.71
Gym Bro Warmup,Relaxed,Energetic,RandomAgent,-5.34
Gym Bro Warmup,Relaxed,Energetic,FavouriteClusterAgent,-1.43
Country King,Nostalgic,Happy,RandomAgent,-5.37
Country King,Nostalgic,Happy,FavouriteClusterAgent,-6.11
Music Nerd,Focused,Inspired,RandomAgent,-5.19
Music Nerd,Focused,Inspired,FavouriteClusterAgent,-0.51
Hip Hop Homie,Relaxed,Happy,RandomAgent,-5.73
Hip Hop Homie,Relaxed,Happy,FavouriteClusterAgent,-4.66
DnB Raver,Angry,Energetic,RandomAgent,-5.26
DnB Raver,Angry,Energetic,FavouriteClusterAgent,-5.53
Jazz Junkie,Relaxed,Focused,RandomAgent,-5.08
Jazz Junkie,Relaxed,Focused,FavouriteClusterAgent,-1.35
Pop Princess,Happy,Inspired,RandomAgent,-5.57
Pop Princess,Happy,Inspired,FavouriteClusterAgent,-1.01
Party Starter,Happy,Energetic,RandomAgent,-5.8
Party Starter,Happy,Energetic,FavouriteClusterAgent,-6.23
